Rank,Player,Club,Nationality,Stat
1.0,Dominic Calvert-Lewin,Everton,England,6
1.0,Son Heung-Min,Tottenham Hotspur,South Korea,6
3.0,Mohamed Salah,Liverpool,Egypt,5
3.0,Jamie Vardy,Leicester City,England,5
5.0,Neal Maupay,Brighton and Hove Albion,France,4
5.0,Callum Wilson,Newcastle United,England,4
7.0,Patrick Bamford,Leeds United,England,3
7.0,Jarrod Bowen,West Ham United,England,3
7.0,Jorginho,Chelsea,Italy,3
7.0,Jack Grealish,Aston Villa,England,3
7.0,Danny Ings,Southampton,England,3
7.0,Harry Kane,Tottenham Hotspur,England,3
7.0,Alexandre Lacazette,Arsenal,France,3
7.0,Sadio Mané,Liverpool,Senegal,3
7.0,James Rodríguez,Everton,Colombia,3
7.0,Ollie Watkins,Aston Villa,England,3
7.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,3
18.0,Michail Antonio,West Ham United,England,2
18.0,Bruno Fernandes,Manchester United,Portugal,2
18.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,2
1.0,Dominic Calvert-Lewin,Everton,England,6
1.0,Son Heung-Min,Tottenham Hotspur,South Korea,6
3.0,Mohamed Salah,Liverpool,Egypt,5
3.0,Jamie Vardy,Leicester City,England,5
5.0,Neal Maupay,Brighton and Hove Albion,France,4
5.0,Callum Wilson,Newcastle United,England,4
7.0,Patrick Bamford,Leeds United,England,3
7.0,Jarrod Bowen,West Ham United,England,3
7.0,Jorginho,Chelsea,Italy,3
7.0,Jack Grealish,Aston Villa,England,3
7.0,Danny Ings,Southampton,England,3
7.0,Harry Kane,Tottenham Hotspur,England,3
7.0,Alexandre Lacazette,Arsenal,France,3
7.0,Sadio Mané,Liverpool,Senegal,3
7.0,James Rodríguez,Everton,Colombia,3
7.0,Ollie Watkins,Aston Villa,England,3
7.0,Wilfried Zaha,Crystal Palace,Cote D'Ivoire,3
18.0,Michail Antonio,West Ham United,England,2
18.0,Bruno Fernandes,Manchester United,Portugal,2
18.0,Raúl Jiménez,Wolverhampton Wanderers,Mexico,2
18.0,Mateusz Klich,Leeds United,Poland,2
18.0,Aleksandar Mitrovic,Fulham,Serbia,2
18.0,Callum Robinson,West Bromwich Albion,Ireland,2
18.0,Hélder Costa,Leeds United,Portugal,2
18.0,Kurt Zouma,Chelsea,France,2
26.0,Tammy Abraham,Chelsea,England,1
26.0,Nathan Aké,Manchester City,Netherlands,1
26.0,Pierre-Emerick Aubameyang,Arsenal,Gabon,1
26.0,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,1
26.0,Ross Barkley,Aston Villa,England,1
26.0,Harvey Barnes,Leicester City,England,1
26.0,Kyle Bartley,West Bromwich Albion,England,1
26.0,Yves Bissouma,Brighton and Hove Albion,Mali,1
26.0,Timothy Castagne,Leicester City,Belgium,1
26.0,Ben Chilwell,Chelsea,England,1
26.0,Aaron Connolly,Brighton and Hove Albion,Ireland,1
26.0,Matheus Pereira,West Bromwich Albion,Brazil,1
26.0,Richarlison,Everton,Brazil,1
26.0,Kevin De Bruyne,Manchester City,Belgium,1
26.0,Bobby De Cordova-Reid,Fulham,Jamaica,1
26.0,Gabriel Jesus,Manchester City,Brazil,1
26.0,Grady Diangana,West Bromwich Albion,England,1
26.0,Moussa Djenepo,Southampton,Mali,1
26.0,Gabriel Magalhães,Arsenal,Brazil,1
26.0,Jimmy Dunne,Burnley,Ireland,1
26.0,Phil Foden,-,England,1
26.0,Pablo Fornals,West Ham United,Spain,1
26.0,Sébastien Haller,West Ham United,France,1
26.0,Jack Harrison,Leeds United,England,1
26.0,Jeff Hendrick,Newcastle United,Ireland,1
26.0,Conor Hourihane,Aston Villa,Ireland,1
26.0,Callum Hudson-Odoi,Chelsea,England,1
26.0,Reece James,Chelsea,England,1
26.0,James Justin,Leicester City,England,1
26.0,Michael Keane,Everton,England,1
26.0,Ezri Konsa Ngoyo,Aston Villa,England,1
26.0,Cheikhou Kouyaté,Crystal Palace,Senegal,1
26.0,Pedro Neto,Wolverhampton Wanderers,Portugal,1
26.0,James Maddison,Leicester City,England,1
26.0,Riyad Mahrez,Manchester City,Algeria,1
26.0,Solly March,-,England,1
26.0,John McGinn,Aston Villa,Scotland,1
26.0,David McGoldrick,Sheffield United,Ireland,1
26.0,Yerry Mina,Everton,Colombia,1
26.0,Tyrone Mings,Aston Villa,England,1
26.0,Rodrigo Moreno,Leeds United,Spain,1
26.0,Mason Mount,Chelsea,England,1
26.0,Tanguy Ndombele,Tottenham Hotspur,France,1
26.0,Eddie Nketiah,Arsenal,England,1
26.0,Nicolas Pépé,Arsenal,Cote D'Ivoire,1
26.0,Dennis Praet,Leicester City,Belgium,1
26.0,Marcus Rashford,Manchester United,England,1
26.0,Andrew Robertson,Liverpool,Scotland,1
26.0,Lucas Moura,Tottenham Hotspur,Brazil,1
26.0,Oriol Romeu,Southampton,Spain,1
26.0,Allan Saint-Maximin,Newcastle United,France,1
26.0,Romain Saïss,Wolverhampton Wanderers,Morocco,1
26.0,Bukayo Saka,Arsenal,England,1
26.0,Raheem Sterling,Manchester City,England,1
26.0,Diogo Jota,Liverpool,Portugal,1
